Date,Open,High,Low,Close,Volume,Symbol
2024-10-30 00:00:00,72781.11308158132,73576.5026022519,72399.40566188384,72781.11308158132,22637313.087305732,BTC
2024-10-31 00:00:00,72342.62171127986,73207.35045017631,71411.37368318716,72342.62171127986,41932539.84116849,BTC
2024-11-01 00:00:00,70264.99735573279,71149.08619779031,70041.9884488557,70264.99735573279,46309967.05944135,BTC
2024-11-02 00:00:00,69507.92256395647,70444.83599476049,68918.11255160753,69507.92256395647,32326274.21677541,BTC
2024-11-03 00:00:00,69299.16036699413,70406.84585181765,68190.32378285241,69299.16036699413,22044004.30267021,BTC
2024-11-04 00:00:00,68803.50626277467,69493.85961925016,67596.25217758944,68803.50626277467,13183169.299248675,BTC
2024-11-05 00:00:00,67793.29782704762,68825.37541236368,67334.11247543202,67793.29782704762,45643100.10769219,BTC
2024-11-06 00:00:00,69335.42553133758,69975.37993687425,68961.9715044047,69335.42553133758,7036254.083435246,BTC
2024-11-07 00:00:00,75620.88606963192,75806.88391915208,75206.71490713333,75620.88606963192,5370478.744685448,BTC
2024-11-08 00:00:00,75987.24178320667,76892.99722691783,75474.2730779523,75987.24178320667,2800659.6070623044,BTC
2024-11-09 00:00:00,76550.0213845611,77875.58308269153,76458.62983276421,76550.0213845611,32559809.572671883,BTC
2024-11-10 00:00:00,76630.22631415377,77198.50077649741,75403.41056388771,76630.22631415377,21448916.36064477,BTC
2024-11-11 00:00:00,80466.71654833542,81367.26873451976,79409.70972322003,80466.71654833542,38806525.58150484,BTC
2024-11-12 00:00:00,88637.42000322911,89510.92740325538,87097.97086562926,88637.42000322911,13796144.44879252,BTC
2024-11-13 00:00:00,88264.59974582895,89766.86584215843,87644.42025547494,88264.59974582895,40518055.70658088,BTC
2024-11-14 00:00:00,90488.10007497849,90703.64535864396,89010.00939237564,90488.10007497849,6730881.132015419,BTC
2024-11-15 00:00:00,87407.51273710128,87820.66099954599,87114.56068873219,87407.51273710128,41343048.814199455,BTC
2024-11-16 00:00:00,90947.97509443703,91503.06396084429,89638.2924769461,90947.97509443703,31923510.559926663,BTC
2024-11-17 00:00:00,90606.45489380708,91258.74151299692,90566.14257304132,90606.45489380708,4585534.52613911,BTC
2024-11-18 00:00:00,89841.47194135105,90786.2820260931,88814.03793069287,89841.47194135105,7206733.434117819,BTC
2024-11-19 00:00:00,90534.62459650292,92137.60198562793,88867.51501539667,90534.62459650292,9798495.423231116,BTC
2024-11-20 00:00:00,92251.65240738312,93621.84069357677,92074.08917164177,92251.65240738312,8677714.399588758,BTC
2024-11-21 00:00:00,94217.02229634205,95403.88733921514,92735.99551984716,94217.02229634205,9017571.111287417,BTC
2024-11-22 00:00:00,98509.11859102432,100419.00042545494,97434.06115503222,98509.11859102432,26277741.97148254,BTC
